A,B,C,D,E,F,G,H,I,J,K
2019-07-01 00:00:00,2967.75,2964.0,2982.25,2955.5,206810.0,0.8,1.0,21.75,21.72251706,3.320798585
2019-07-02 00:00:00,2979.5,2967.75,2980.25,2958.5,191240.0,0.4,2.0,,21.75,3.325
2019-07-03 00:00:00,3000.25,2979.25,3001.0,2973.75,122090.0,0.7,3.0,,21.83428102,3.33788434
2019-07-05 00:00:00,2990.5,3000.0,3005.5,2971.5,208870.0,-0.32,4.0,,21.9863533,3.361132171
2019-07-08 00:00:00,2978.5,2991.25,2994.75,2973.25,183020.0,-0.4,5.0,,21.92222643,3.351328869
2019-07-09 00:00:00,2982.0,2978.25,2986.25,2963.5,174560.0,0.12,6.0,,21.82695224,3.336763963
2019-07-10 00:00:00,2997.5,2982.25,3007.5,2971.25,242430.0,0.52,7.0,,21.85626737,3.341245472
2019-07-11 00:00:00,3004.0,2996.25,3006.75,2992.5,209740.0,0.22,8.0,,21.95887036,3.356930756
2019-07-12 00:00:00,3015.5,3003.0,3017.75,3002.0,142820.0,0.38,9.0,,22.00833965,3.364493303
2019-07-15 00:00:00,3017.25,3016.0,3024.0,3011.0,132130.0,0.06,10.0,,22.10361385,3.379058209
2019-07-16 00:00:00,3007.0,3017.0,3021.75,3004.25,165820.0,-0.34,11.0,,22.11094263,3.380178586
2019-07-17 00:00:00,2985.0,3005.75,3013.0,2980.5,167010.0,-0.73,12.0,,22.02849381,3.367574341
2019-07-18 00:00:00,2997.5,2981.25,3005.5,2974.5,229940.0,0.42,13.0,,21.84893859,3.340125095
2019-07-19 00:00:00,2977.0,3003.5,3009.75,2969.25,262660.0,-0.68,14.0,,22.01200404,3.365053492
2019-07-22 00:00:00,2989.0,2973.75,2993.5,2972.25,186870.0,0.4,15.0,,21.79397271,3.331722264
2019-07-23 00:00:00,3008.0,2989.0,3008.75,2987.5,209110.0,0.64,16.0,,21.90573667,3.34880802
2019-07-24 00:00:00,3021.5,3003.25,3022.0,2996.0,194070.0,0.45,17.0,,22.01017185,3.364773397
2019-07-25 00:00:00,3006.5,3018.75,3027.75,2998.0,291740.0,-0.5,18.0,,22.12376801,3.382139247
2019-07-26 00:00:00,3024.5,3006.75,3029.5,3006.0,173470.0,0.6,19.0,,22.03582259,3.368694718
2019-07-29 00:00:00,3021.75,3022.25,3027.5,3015.5,178200.0,-0.09,20.0,,22.14941875,3.386060568
2019-07-30 00:00:00,3012.25,3023.0,3027.5,3001.5,237840.0,-0.31,21.0,,22.15491534,3.386900851
2019-07-31 00:00:00,2982.25,3015.25,3020.5,2957.75,451070.0,-1.0,22.0,,22.09811726,3.406279571
2019-08-01 00:00:00,2952.0,2971.5,3014.0,2944.5,701490.0,-1.01,23.0,,21.77748294,3.356855897
2019-08-02 00:00:00,2932.5,2950.75,2961.0,2913.25,557200.0,-0.66,24.0,,21.62541066,3.333414955
2019-08-05 00:00:00,2830.0,2930.75,2933.5,2820.75,723770.0,-3.5,25.0,,21.47883498,3.310821276
2019-08-06 00:00:00,2876.0,2817.5,2884.0,2776.0,637890.0,1.63,26.0,,20.64885014,3.182884567
2019-08-07 00:00:00,2880.5,2875.0,2891.25,2823.0,765870.0,0.16,27.0,,21.07025524,3.247841395
2019-08-08 00:00:00,2940.0,2878.5,2941.5,2870.5,317160.0,2.07,28.0,,21.09590599,3.251795289
2019-08-09 00:00:00,2919.75,2931.0,2936.0,2898.75,473100.0,-0.69,29.0,,21.48066717,3.311103697
